# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	57682
#@/user_id	Office-PC
a 	啊	c=62 d=0.0314298 t=57682
a a 	啊啊	c=1 d=1 t=45358
a gao 	阿高	c=1 d=2.33544e-067 t=57682
a hong 	阿訇	c=0 d=0.1 t=47856
a li 	阿里	c=3 d=2.08428e-015 t=57682
a li de 	阿里的	c=1 d=1 t=39159
a lian xi 	啊聯繫	c=1 d=1.1398e-010 t=57682
a ma fan 	啊麻煩	c=1 d=4.05645e-033 t=57682
a wo 	啊我	c=1 d=0.0113902 t=57682
ai 	唉	c=6 d=2.92283e-012 t=57682
ai ai 	唉唉	c=0 d=1.26023e-075 t=57682
ai ai 	皚皚	c=0 d=1.25395e-075 t=57682
ai ai ai 	唉唉唉	c=1 d=1.26655e-074 t=57682
ai ai ai 	皚皚唉	c=1 d=1.26023e-074 t=57682
ai ding bao 	愛丁堡	c=2 d=2.81406e-025 t=57682
ai si 	愛死	c=1 d=1.04649 t=43632
ai si ni 	愛死你	c=1 d=1 t=43633
an 	安	c=1 d=1 t=56489
an 	按	c=46 d=0.631284 t=57682
an bu chu lai 	按不出來	c=2 d=6.49693e-045 t=57682
an bu jiu ban 	按部就班	c=1 d=1.11586e-025 t=57682
an chu lai 	按出來	c=1 d=3.16745e-005 t=57682
an cuo 	按錯	c=1 d=1.59218e-060 t=57682
an fen shou ji 	安分守己	c=1 d=6.31673e-067 t=57682
an ge 	安格	c=1 d=1.52352e-012 t=57682
an jian 	按鍵	c=5 d=3.01527e-005 t=57682
an jian jing ling 	按鍵精靈	c=1 d=2.76745e-005 t=57682
an le 	安樂	c=1 d=1 t=37665
an le 	按了	c=1 d=1 t=37666
an li 	案例	c=7 d=2.08124e-044 t=57682
an mo 	按摩	c=0 d=0.1 t=44084
an niu 	按鈕	c=23 d=1.22456e-005 t=57682
an pai 	安排	c=1 d=2.50393e-063 t=57682
an quan 	安全	c=15 d=0.501104 t=57682
an quan ma 	安全嗎	c=1 d=9.9066e-067 t=57682
an quan xing 	安全性	c=1 d=1.78653e-062 t=57682
an shi ji 	按實際	c=1 d=6.74117e-038 t=57682
an tian 	按天	c=1 d=1 t=39832
an xin 	安心	c=1 d=3.34347e-053 t=57682
an xu 	按需	c=3 d=1.30073e-005 t=57682
an yi ge 	按一個	c=1 d=2.92672e-075 t=57682
an yi xia 	按一下	c=1 d=1 t=45763
an zhao 	按照	c=4 d=5.87485e-008 t=57682
