# Rime user dictionary
#@/db_name	luna_pinyin.userdb.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	36766
#@/user_id	Office-PC
a 	啊	c=42 d=0.0189463 t=36766
a gao 	阿高	c=1 d=2.33544e-067 t=36766
a li 	阿里	c=2 d=2.08428e-015 t=36766
a lian xi 	啊聯繫	c=1 d=1.1398e-010 t=36766
a ma fan 	啊麻煩	c=1 d=4.05645e-033 t=36766
a wo 	啊我	c=1 d=0.0113902 t=36766
ai 	唉	c=3 d=2.92283e-012 t=36766
ai ai 	唉唉	c=0 d=1.26023e-075 t=36766
ai ai 	皚皚	c=0 d=1.25395e-075 t=36766
ai ai ai 	唉唉唉	c=1 d=1.26655e-074 t=36766
ai ai ai 	皚皚唉	c=1 d=1.26023e-074 t=36766
ai ding bao 	愛丁堡	c=1 d=1.36803e-069 t=36766
ai pa pa 	矮趴趴	c=1 d=0.00259284 t=36766
an 	安	c=1 d=1.98088e-071 t=36766
an 	按	c=31 d=0.631284 t=36766
an bu chu lai 	按不出來	c=1 d=1.50181e-049 t=36766
an bu jiu ban 	按部就班	c=1 d=1.11586e-025 t=36766
an chu lai 	按出來	c=1 d=3.16745e-005 t=36766
an cuo 	按錯	c=1 d=1.59218e-060 t=36766
an fen shou ji 	安分守己	c=1 d=6.31673e-067 t=36766
an ge 	安格	c=1 d=1.52352e-012 t=36766
an jian 	按鍵	c=5 d=3.01527e-005 t=36766
an jian jing ling 	按鍵精靈	c=1 d=2.76745e-005 t=36766
an li 	安利	c=1 d=7.95429e-073 t=36766
an li 	案例	c=1 d=0.00767337 t=36766
an niu 	按鈕	c=7 d=9.61278e-036 t=36766
an pai 	安排	c=1 d=2.50393e-063 t=36766
an pai hao 	安排好	c=2 d=6.26658e-075 t=36766
an quan 	安全	c=14 d=0.501104 t=36766
an quan ma 	安全嗎	c=1 d=9.9066e-067 t=36766
an quan xing 	安全性	c=1 d=1.78653e-062 t=36766
an shi ji 	按實際	c=1 d=6.74117e-038 t=36766
an xia mian 	按下面	c=1 d=0.000411789 t=36766
an xin 	安心	c=1 d=3.34347e-053 t=36766
an xu 	按需	c=1 d=0.00423234 t=36766
an yi ge 	按一個	c=1 d=2.92672e-075 t=36766
an zhao 	按照	c=3 d=5.87485e-008 t=36766
an zhuang 	安裝	c=31 d=0.0243579 t=36766
an zhuang ao 	安裝奧	c=1 d=1.69703e-075 t=36766
an zhuang bao 	安裝包	c=14 d=0.0183179 t=36766
an zhuang le 	安裝了	c=1 d=0.131994 t=36766
an zhuo 	安卓	c=3 d=2.8272e-021 t=36766
ang 	昂	c=0 d=9.88944e-077 t=36766
ang xie lou zhu fen xiang 	昂寫樓主分享	c=1 d=9.93902e-076 t=36766
ao 	奧	c=0 d=2.0608e-008 t=36766
ba 	八	c=1 d=6.52262e-062 t=36766
ba 	吧	c=98 d=0.971848 t=36766
ba 	把	c=55 d=0.0237138 t=36766
ba ba 	爸爸	c=4 d=0.00199076 t=36766
ba ba teng 	爸爸疼	c=1 d=2.51297e-076 t=36766
ba gu wen 	八股文	c=2 d=6.24603e-074 t=36766
ba qun 	拔羣	c=2 d=1.65199e-037 t=36766
ba wo 	把握	c=1 d=7.60478e-015 t=36766
bai 	白	c=1 d=6.28308e-063 t=36766
bai ding 	白丁	c=1 d=0.0808629 t=36766
bai du 	百度	c=0 d=2.68823e-076 t=36766
bai du yun 	百度暈	c=1 d=2.7017e-075 t=36766
bai fen bi 	百分比	c=1 d=3.60131e-074 t=36766
bai ge 	百個	c=1 d=2.12609e-021 t=36766
bai se 	白色	c=1 d=0.000345679 t=36766
bai yuan 	百元	c=1 d=1.96932e-061 t=36766
ban 	半	c=5 d=0.00208081 t=36766
ban 	扮	c=2 d=2.31024e-057 t=36766
ban 	斑	c=1 d=0.000187825 t=36766
ban 	板	c=1 d=1.45573e-006 t=36766
ban 	版	c=20 d=0.474744 t=36766
ban 	辦	c=7 d=0.191092 t=36766
ban ban 	斑斑	c=0 d=2.81981e-050 t=36766
ban ban 	般般	c=2 d=0.0706512 t=36766
ban ben 	版本	c=96 d=1.39107 t=36766
ban ben hao 	版本號	c=10 d=0.0140229 t=36766
ban ben ku 	版本庫	c=1 d=1.46224e-029 t=36766
ban ding 	頒訂	c=2 d=9.18188e-026 t=36766
ban fa 	辦法	c=5 d=1.00864e-013 t=36766
ban gong 	辦公	c=1 d=1 t=36766
ban hao 	辦好	c=1 d=3.92786e-007 t=36766
ban jiao 	半角	c=2 d=5.80823e-040 t=36766
ban jing 	半徑	c=1 d=1.70142e-076 t=36766
ban ju 	半句	c=0 d=9.11542e-030 t=36766
ban li 	辦理	c=5 d=1.18787 t=36766
ban miao 	半秒	c=1 d=9.70053e-055 t=36766
ban ni lu 	班尼路	c=1 d=0.000335463 t=36766
ban nian 	半年	c=0 d=1.15455e-074 t=36766
ban nian yin hang liu shui 	半年銀行流水	c=1 d=1.16034e-073 t=36766
ban quan 	版權	c=2 d=3.41615e-041 t=36766
ban shi 	辦事	c=0 d=5.42098e-063 t=36766
ban tong shui 	半桶水	c=1 d=0.0149956 t=36766
bang 	幫	c=9 d=0.0220384 t=36766
bang 	棒	c=8 d=2.26973e-008 t=36766
bang 	磅	c=1 d=2.36953e-061 t=36766
bang 	邦	c=1 d=9.71044e-067 t=36766
bang bang 	幫幫	c=1 d=6.52484e-066 t=36766
bang ding 	綁定	c=22 d=0.88289 t=36766
bang mang 	幫忙	c=46 d=0.0963559 t=36766
bang ni 	幫你	c=5 d=8.17173e-008 t=36766
bang nin 	幫您	c=1 d=3.73566e-005 t=36766
bang ta 	幫他	c=1 d=0.0239928 t=36766
bang wo 	幫我	c=12 d=0.000296051 t=36766
